mission_id,mission_tab,mission_type,mission_condition_value,complete_value,reward_item_id,reward_item_num,mission_text,
,,,,,,,{%} はcomplete_valueに置換される,備考
1,1,1,1,10,1,10,aハムスターを{%}匹修正した,XXXXバグスターをn匹修正した
2,1,2,0,3,1,10,バグスターを{%}種類修正した,バグスターをn種類修正した
3,1,3,0,10,1,10,バグスターを累計{%}匹修正した,バグスターを累計n匹修正した
4,1,4,0,1,1,10,累計修正時間が{%}時間を突破した,累計修正時間がn時間を突破した
5,1,5,1,3,1,10,施設「まわしくるま」を{%}回強化した,施設「XXX」をn回強化した
6,1,6,0,2,1,10,{%}種類のエサを使った,n種類のエサを使った
7,1,7,0,2,1,10,ユーザーランクを{%}にした,ユーザーランクをnにした
8,2,8,0,5,1,10,図鑑を{%}%埋めた,ずかんをn%埋めた
9,1,9,0,100,1,10,累計{%}コイン集めた,累計nコイン集めた
10,1,10,0,1,1,10,{%}種類のバグスターの図鑑を全て解放した,XX種類のバグスターのずかんを全て開放した
11,1,11,1,1,1,10,めずらしさ1のバグスターを初めて修正した,めずらしさXXXのバグスターを初めて修正した
12,1,12,1,5,1,10,茶色のバグスターを{%}匹修正した,XX色のバグスターをn匹修正した
